backend,total_blocks,image_size_kb,rep,metric,value
cow,64,256,1,discard_us,38.24988380074501
cow,64,256,1,commit_us,4576.667211949825
cow,64,256,2,snapshot_create_us,83.99994112551212
cow,64,256,2,write_during_snap_total_us,246.5830184519291
cow,64,256,2,write_during_snap_per_block_us,41.09716974198818
cow,64,256,2,num_writes,6
cow,64,256,2,delta_block_count,6
cow,64,256,2,discard_us,30.624913051724434
cow,64,256,2,commit_us,4670.124966651201
cow,64,256,3,snapshot_create_us,108.58289897441864
cow,64,256,3,write_during_snap_total_us,261.9170118123293
cow,64,256,3,write_during_snap_per_block_us,43.65283530205488
cow,64,256,3,num_writes,6
cow,64,256,3,delta_block_count,6
cow,64,256,3,discard_us,43.584033846855164
cow,64,256,3,commit_us,4510.208033025265
cow,64,256,4,snapshot_create_us,105.2499283105135
cow,64,256,4,write_during_snap_total_us,268.5000654309988
cow,64,256,4,write_during_snap_per_block_us,44.75001090516647
cow,64,256,4,num_writes,6
cow,64,256,4,delta_block_count,6
cow,64,256,4,discard_us,36.29201091825962
cow,64,256,4,commit_us,4528.417019173503
cow,64,256,5,snapshot_create_us,93.833077698946
cow,64,256,5,write_during_snap_total_us,283.83289463818073
cow,64,256,5,write_during_snap_per_block_us,47.30548243969679
cow,64,256,5,num_writes,6
cow,64,256,5,delta_block_count,6
cow,64,256,5,discard_us,36.708079278469086
cow,64,256,5,commit_us,4520.624876022339
cow,64,256,6,snapshot_create_us,90.95785208046436
cow,64,256,6,write_during_snap_total_us,252.95792147517204
cow,64,256,6,write_during_snap_per_block_us,42.15965357919534
cow,64,256,6,num_writes,6
cow,64,256,6,delta_block_count,6
cow,64,256,6,discard_us,29.166927561163902
cow,64,256,6,commit_us,4517.958033829927
cow,64,256,7,snapshot_create_us,77.08393968641758
cow,64,256,7,write_during_snap_total_us,247.7499656379223
cow,64,256,7,write_during_snap_per_block_us,41.29166093965372
cow,64,256,7,num_writes,6
cow,64,256,7,delta_block_count,6
cow,64,256,7,discard_us,28.833048418164253
cow,64,256,7,commit_us,4758.208058774471
cow,64,256,8,snapshot_create_us,98.0000477284193
cow,64,256,8,write_during_snap_total_us,294.62482780218124
cow,64,256,8,write_during_snap_per_block_us,49.104137967030205
cow,64,256,8,num_writes,6
cow,64,256,8,delta_block_count,6
cow,64,256,8,discard_us,48.12492989003658
cow,64,256,8,commit_us,4449.249943718314
cow,64,256,9,snapshot_create_us,96.08408436179161
cow,64,256,9,write_during_snap_total_us,247.58302606642246
cow,64,256,9,write_during_snap_per_block_us,41.26383767773708
cow,64,256,9,num_writes,6
cow,64,256,9,delta_block_count,6
cow,64,256,9,discard_us,29.959017410874367
cow,64,256,9,commit_us,4456.999944522977
cow,64,256,10,snapshot_create_us,131.0841180384159
cow,64,256,10,write_during_snap_total_us,256.45806454122066
